name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
AL-1,NUON,Marketkant 12-10,1341AK,Almere,NL,62,Natural gas,,,,52.38811,5.2154
AL-2,NUON,Markerkant 12-10,1341AK,Almere,NL,55,Natural gas,,,,52.38811,5.2154
Amercentrale (A8),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,645,Hard coal,Steam turbine,,,51.70838,4.84381
Amercentrale (A9),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,643,Hard coal,Steam turbine,,,51.70838,4.84381
Amylum,AMYLUM NEDERLAND B.V.,Lagedijk 5,1541KA,Koog aan de Zaan,NL,7,Natural gas,,,,52.46552,4.81361
Attero Noord B.V.,DELTA ENERGY B.V.,VAMweg 7,9418TM,Wijster,NL,48,Biomass and biogas,,,,,
BOZ,ESSENT ENERGY TRADING B.V.,Moervaart 1,4622RR,Bergen op Zoom,NL,33,Natural gas,,,,51.50555,4.33998
Borssele 30,DELTA ENERGY B.V.,Zeedijk 32,4454PM,Borssele,NL,492,Nuclear,Steam turbine,,,51.43148,3.71871
CUIJK,ESSENT ENERGY TRADING B.V.,Lange Ooijen 31,5433NG,Katwijk (NB),NL,25,Hard coal,Steam turbine,,,51.75381,5.8528
Centrale Bergum (CB10),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72,Natural gas,,,,53.20975,6.02959
Centrale Bergum (CB20),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72,Natural gas,,,,53.20975,6.02959
Centrale Diemen (DM33),NUON,Overdiemerweg 35,1111PP,Diemen,NL,249,Natural gas,,,,52.33898,5.02134
Centrale Diemen (DM34),VATTENFALL ENERGY TRADING,Overdiemerweg 35,1111PP,Diemen,NL,435,Natural gas,,,,52.33898,5.02134
Centrale Galileistraat (FG1),EON BENELUX,Galileistraat 15,3029AL,Rotterdam,NL,0,Natural gas,,,,51.91025,4.42608
Centrale Gelderland (CG13),ELECTRABEL NEDERLAND NV,Weurtseweg 460,6541BE,Nijmegen,NL,0,Hard coal,Steam turbine,,,51.85607,5.83043
Centrale Harculo (HC60),ELECTRABEL NEDERLAND NV,IJsselcentraleweg 6,8015PA,Zwolle,NL,0,Natural gas,,,,52.46907,6.10767
Centrale Hemweg (HW-7),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,585,Natural gas,,,,52.40537,4.84482
Centrale Hemweg (HW-8),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,650,Hard coal,Steam turbine,,,52.40537,4.84482
Centrale Hemweg (HW-9),NUONENW,Nieuwe Hemweg 25,1041AA,Amsterdam,NL,432,Natural gas,,,,52.40537,4.84482
Centrale IJmond,NUON,Hoflaan 1,1951HJ,Velsen,NL,144,Other or unspecified energy sources,,,,52.47155,4.63473
Centrale Lage Weide,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,247,Natural gas,,,,52.10292,5.07137
Centrale Maasvlakte (MV1),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,0,Hard coal,Steam turbine,,,51.96262,4.02152
Centrale Maasvlakte (MV2),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,0,Hard coal,Steam turbine,,,51.96262,4.02152
Centrale Maasvlakte (MV3),EON BENELUX,Europaweg 911,3199LD,Maasvlakte Rotterdam,NL,1068,Hard coal,Steam turbine,,,51.96262,4.02152
Centrale Merwedekanaal,NUON,Keulsekade 181,3534AC,Utrecht,NL,227,Natural gas,,,,52.10156,5.07981
Centrale RoCa (RoCa3),EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,218,Natural gas,,,,51.95366,4.56155
Centrale Swentibold,ESSENT ENERGY TRADING B.V.,Kampstraat 101,6163HE,Geleen,NL,225,Natural gas,,,,50.97971,5.80891
Centrale Velsen (VN24),NUON,Hoflaan 1,1951HJ,Velsen,NL,459,Natural gas,,,,52.47155,4.63473
Centrale Velsen (VN25),NUON,Hoflaan 1,1951HJ,Velsen,NL,375,Natural gas,,,,52.47155,4.63473
Clauscentrale (A),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,640,Natural gas,,,,51.15409,5.90803
Clauscentrale (C1),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310,Natural gas,,,,51.15409,5.90803
Clauscentrale (C2),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310,Natural gas,,,,51.15409,5.90803
Clauscentrale (C3),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310,Natural gas,,,,51.15409,5.90803
